<SemiconductorModuleTests>																		
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<ExportLocation>		
	MainSequence	R_Free_Last	ID#:qvpy9tuIu0mwJ3cI/Ved0C	RF4_Free_Last	4704		2.5	3.5	GELE	M	ohms	Numeric Limit	28	RF4_Free				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_20	6001				LOG		Ohm	Numeric Limit		RF1_PI_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_21	6002				LOG		Ohm	Numeric Limit		RF1_PI_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_22	6003				LOG		Ohm	Numeric Limit		RF1_PI_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_23	6004				LOG		Ohm	Numeric Limit		RF1_PI_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_24	6005				LOG		Ohm	Numeric Limit		RF1_PI_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_25	6006				LOG		Ohm	Numeric Limit		RF1_PI_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_26	6007				LOG		Ohm	Numeric Limit		RF1_PI_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_27	6008				LOG		Ohm	Numeric Limit		RF1_PI_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_28	6009				LOG		Ohm	Numeric Limit		RF1_PI_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_29	6010				LOG		Ohm	Numeric Limit		RF1_PI_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_30	6011				LOG		Ohm	Numeric Limit		RF1_PI_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_31	6012				LOG		Ohm	Numeric Limit		RF1_PI_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_32	6013				LOG		Ohm	Numeric Limit		RF1_PI_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_33	6014				LOG		Ohm	Numeric Limit		RF1_PI_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_34	6015				LOG		Ohm	Numeric Limit		RF1_PI_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_35	6016				LOG		Ohm	Numeric Limit		RF1_PI_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_36	6017				LOG		Ohm	Numeric Limit		RF1_PI_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_37	6018				LOG		Ohm	Numeric Limit		RF1_PI_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_38	6019				LOG		Ohm	Numeric Limit		RF1_PI_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_39	6020				LOG		Ohm	Numeric Limit		RF1_PI_39		Locals.R1_R39		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_40	6021				LOG		Ohm	Numeric Limit		RF1_PI_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_PI_41	6022				LOG		Ohm	Numeric Limit		RF1_PI_41		Locals.R1_R41		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_40	6023				LOG		Ohm	Numeric Limit		RF1_RL_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_39	6024				LOG		Ohm	Numeric Limit		RF1_RL_39				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_38	6025				LOG		Ohm	Numeric Limit		RF1_RL_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_37	6026				LOG		Ohm	Numeric Limit		RF1_RL_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_36	6027				LOG		Ohm	Numeric Limit		RF1_RL_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_35	6028				LOG		Ohm	Numeric Limit		RF1_RL_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_34	6029				LOG		Ohm	Numeric Limit		RF1_RL_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_33	6030				LOG		Ohm	Numeric Limit		RF1_RL_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_32	6031				LOG		Ohm	Numeric Limit		RF1_RL_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_31	6032				LOG		Ohm	Numeric Limit		RF1_RL_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_30	6033				LOG		Ohm	Numeric Limit		RF1_RL_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_29	6034				LOG		Ohm	Numeric Limit		RF1_RL_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_28	6035				LOG		Ohm	Numeric Limit		RF1_RL_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_27	6036				LOG		Ohm	Numeric Limit		RF1_RL_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_26	6037				LOG		Ohm	Numeric Limit		RF1_RL_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_25	6038				LOG		Ohm	Numeric Limit		RF1_RL_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_24	6039				LOG		Ohm	Numeric Limit		RF1_RL_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_23	6040				LOG		Ohm	Numeric Limit		RF1_RL_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_22	6041				LOG		Ohm	Numeric Limit		RF1_RL_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_21	6042				LOG		Ohm	Numeric Limit		RF1_RL_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_RL_20	6043				LOG		Ohm	Numeric Limit		RF1_RL_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R1_Free_Last	6044				LOG		Ohm	Numeric Limit		RF1_RL_0				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_20	6045				LOG		Ohm	Numeric Limit		RF2_PI_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_21	6046				LOG		Ohm	Numeric Limit		RF2_PI_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_22	6047				LOG		Ohm	Numeric Limit		RF2_PI_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_23	6048				LOG		Ohm	Numeric Limit		RF2_PI_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_24	6049				LOG		Ohm	Numeric Limit		RF2_PI_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_25	6050				LOG		Ohm	Numeric Limit		RF2_PI_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_26	6051				LOG		Ohm	Numeric Limit		RF2_PI_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_27	6052				LOG		Ohm	Numeric Limit		RF2_PI_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_28	6053				LOG		Ohm	Numeric Limit		RF2_PI_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_29	6054				LOG		Ohm	Numeric Limit		RF2_PI_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_30	6055				LOG		Ohm	Numeric Limit		RF2_PI_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_31	6056				LOG		Ohm	Numeric Limit		RF2_PI_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_32	6057				LOG		Ohm	Numeric Limit		RF2_PI_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_33	6058				LOG		Ohm	Numeric Limit		RF2_PI_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_34	6059				LOG		Ohm	Numeric Limit		RF2_PI_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_35	6060				LOG		Ohm	Numeric Limit		RF2_PI_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_36	6061				LOG		Ohm	Numeric Limit		RF2_PI_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_37	6062				LOG		Ohm	Numeric Limit		RF2_PI_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_38	6063				LOG		Ohm	Numeric Limit		RF2_PI_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_39	6064				LOG		Ohm	Numeric Limit		RF2_PI_39		Locals.R2_R39		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_40	6065				LOG		Ohm	Numeric Limit		RF2_PI_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_PI_41	6066				LOG		Ohm	Numeric Limit		RF2_PI_41		Locals.R2_R41		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_40	6067				LOG		Ohm	Numeric Limit		RF2_RL_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_39	6068				LOG		Ohm	Numeric Limit		RF2_RL_39				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_38	6069				LOG		Ohm	Numeric Limit		RF2_RL_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_37	6070				LOG		Ohm	Numeric Limit		RF2_RL_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_36	6071				LOG		Ohm	Numeric Limit		RF2_RL_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_35	6072				LOG		Ohm	Numeric Limit		RF2_RL_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_34	6073				LOG		Ohm	Numeric Limit		RF2_RL_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_33	6074				LOG		Ohm	Numeric Limit		RF2_RL_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_32	6075				LOG		Ohm	Numeric Limit		RF2_RL_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_31	6076				LOG		Ohm	Numeric Limit		RF2_RL_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_30	6077				LOG		Ohm	Numeric Limit		RF2_RL_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_29	6078				LOG		Ohm	Numeric Limit		RF2_RL_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_28	6079				LOG		Ohm	Numeric Limit		RF2_RL_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_27	6080				LOG		Ohm	Numeric Limit		RF2_RL_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_26	6081				LOG		Ohm	Numeric Limit		RF2_RL_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_25	6082				LOG		Ohm	Numeric Limit		RF2_RL_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_24	6083				LOG		Ohm	Numeric Limit		RF2_RL_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_23	6084				LOG		Ohm	Numeric Limit		RF2_RL_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_22	6085				LOG		Ohm	Numeric Limit		RF2_RL_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_21	6086				LOG		Ohm	Numeric Limit		RF2_RL_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_RL_20	6087				LOG		Ohm	Numeric Limit		RF2_RL_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R2_Free_Last	6088				LOG		Ohm	Numeric Limit		RF2_RL_0				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_20	6089				LOG		Ohm	Numeric Limit		RF3_PI_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_21	6090				LOG		Ohm	Numeric Limit		RF3_PI_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_22	6091				LOG		Ohm	Numeric Limit		RF3_PI_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_23	6092				LOG		Ohm	Numeric Limit		RF3_PI_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_24	6093				LOG		Ohm	Numeric Limit		RF3_PI_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_25	6094				LOG		Ohm	Numeric Limit		RF3_PI_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_26	6095				LOG		Ohm	Numeric Limit		RF3_PI_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_27	6096				LOG		Ohm	Numeric Limit		RF3_PI_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_28	6097				LOG		Ohm	Numeric Limit		RF3_PI_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_29	6098				LOG		Ohm	Numeric Limit		RF3_PI_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_30	6099				LOG		Ohm	Numeric Limit		RF3_PI_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_31	6100				LOG		Ohm	Numeric Limit		RF3_PI_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_32	6101				LOG		Ohm	Numeric Limit		RF3_PI_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_33	6102				LOG		Ohm	Numeric Limit		RF3_PI_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_34	6103				LOG		Ohm	Numeric Limit		RF3_PI_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_35	6104				LOG		Ohm	Numeric Limit		RF3_PI_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_36	6105				LOG		Ohm	Numeric Limit		RF3_PI_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_37	6106				LOG		Ohm	Numeric Limit		RF3_PI_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_38	6107				LOG		Ohm	Numeric Limit		RF3_PI_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_39	6108				LOG		Ohm	Numeric Limit		RF3_PI_39		Locals.R3_R39		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_40	6109				LOG		Ohm	Numeric Limit		RF3_PI_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_PI_41	6110				LOG		Ohm	Numeric Limit		RF3_PI_41		Locals.R3_R41		
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_40	6111				LOG		Ohm	Numeric Limit		RF3_RL_40				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_39	6112				LOG		Ohm	Numeric Limit		RF3_RL_39				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_38	6113				LOG		Ohm	Numeric Limit		RF3_RL_38				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_37	6114				LOG		Ohm	Numeric Limit		RF3_RL_37				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_36	6115				LOG		Ohm	Numeric Limit		RF3_RL_36				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_35	6116				LOG		Ohm	Numeric Limit		RF3_RL_35				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_34	6117				LOG		Ohm	Numeric Limit		RF3_RL_34				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_33	6118				LOG		Ohm	Numeric Limit		RF3_RL_33				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_32	6119				LOG		Ohm	Numeric Limit		RF3_RL_32				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_31	6120				LOG		Ohm	Numeric Limit		RF3_RL_31				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_30	6121				LOG		Ohm	Numeric Limit		RF3_RL_30				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_29	6122				LOG		Ohm	Numeric Limit		RF3_RL_29				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_28	6123				LOG		Ohm	Numeric Limit		RF3_RL_28				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_27	6124				LOG		Ohm	Numeric Limit		RF3_RL_27				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_26	6125				LOG		Ohm	Numeric Limit		RF3_RL_26				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_25	6126				LOG		Ohm	Numeric Limit		RF3_RL_25				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_24	6127				LOG		Ohm	Numeric Limit		RF3_RL_24				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_23	6128				LOG		Ohm	Numeric Limit		RF3_RL_23				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_22	6129				LOG		Ohm	Numeric Limit		RF3_RL_22				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_21	6130				LOG		Ohm	Numeric Limit		RF3_RL_21				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_RL_20	6131				LOG		Ohm	Numeric Limit		RF3_RL_20				
	MainSequence	BFDown	ID#:ByFBll0Zj0GyV3xs1Z4YgB	R3_Free_Last	6132				LOG		Ohm	Numeric Limit		RF3_RL_0				
